The character codes from the LATIN-1 character set are especially important, because they are identical to the same first 256 codepoints of the UNICODE character set.

LATIN-1 is a superset of ASCII. ASCII is described in a different document; therefore the description of ASCII characters has been omitted here.

THIS document is encoded as UTF-8.

Hx Chr Description
A0     NO-BREAK SPACE
A1  ¡  INVERTED EXCLAMATION MARK
A2  ¢  CENT SIGN
A3  £  POUND SIGN
A4  ¤  CURRENCY SIGN
A5  ¥  YEN SIGN
A6  ¦  BROKEN BAR
A7  §  SECTION SIGN
A8  ¨  DIAERESIS
A9  ©  COPYRIGHT SIGN
AA  ª  FEMININE ORDINAL INDICATOR
AB  «  LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
AC  ¬  NOT SIGN
AD     SOFT HYPHEN
AE  ®  REGISTERED SIGN
AF  ¯  MACRON
B0  °  DEGREE SIGN
B1  ±  PLUS-MINUS SIGN
B2  ²  SUPERSCRIPT TWO
B3  ³  SUPERSCRIPT THREE
B4  ´  ACUTE ACCENT
B5  µ  MICRO SIGN
B6  ¶  PILCROW SIGN
B7  ·  MIDDLE DOT
B8  ¸  CEDILLA
B9  ¹  SUPERSCRIPT ONE
BA  º  MASCULINE ORDINAL INDICATOR
BB  »  RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
BC  ¼  VULGAR FRACTION ONE QUARTER
BD  ½  VULGAR FRACTION ONE HALF
BE  ¾  VULGAR FRACTION THREE QUARTERS
BF  ¿  INVERTED QUESTION MARK
C0  À  LATIN CAPITAL LETTER A WITH GRAVE
C1  Á  LATIN CAPITAL LETTER A WITH ACUTE
C2  Â  LATIN CAPITAL LETTER A WITH CIRCUMFLEX
C3  Ã  LATIN CAPITAL LETTER A WITH TILDE
C4  Ä  LATIN CAPITAL LETTER A WITH DIAERESIS
C5  Å  LATIN CAPITAL LETTER A WITH RING ABOVE
C6  Æ  LATIN CAPITAL LETTER AE
C7  Ç  LATIN CAPITAL LETTER C WITH CEDILLA
C8  È  LATIN CAPITAL LETTER E WITH GRAVE
C9  É  LATIN CAPITAL LETTER E WITH ACUTE
CA  Ê  LATIN CAPITAL LETTER E WITH CIRCUMFLEX
CB  Ë  LATIN CAPITAL LETTER E WITH DIAERESIS
CC  Ì  LATIN CAPITAL LETTER I WITH GRAVE
CD  Í  LATIN CAPITAL LETTER I WITH ACUTE
CE  Î  LATIN CAPITAL LETTER I WITH CIRCUMFLEX
CF  Ï  LATIN CAPITAL LETTER I WITH DIAERESIS
D0  Ð  LATIN CAPITAL LETTER ETH
D1  Ñ  LATIN CAPITAL LETTER N WITH TILDE
D2  Ò  LATIN CAPITAL LETTER O WITH GRAVE
D3  Ó  LATIN CAPITAL LETTER O WITH ACUTE
D4  Ô  LATIN CAPITAL LETTER O WITH CIRCUMFLEX
D5  Õ  LATIN CAPITAL LETTER O WITH TILDE
D6  Ö  LATIN CAPITAL LETTER O WITH DIAERESIS
D7  ×  MULTIPLICATION SIGN
D8  Ø  LATIN CAPITAL LETTER O WITH STROKE
D9  Ù  LATIN CAPITAL LETTER U WITH GRAVE
DA  Ú  LATIN CAPITAL LETTER U WITH ACUTE
DB  Û  LATIN CAPITAL LETTER U WITH CIRCUMFLEX
DC  Ü  LATIN CAPITAL LETTER U WITH DIAERESIS
DD  Ý  LATIN CAPITAL LETTER Y WITH ACUTE
DE  Þ  LATIN CAPITAL LETTER THORN
DF  ß  LATIN SMALL LETTER SHARP S
E0  à  LATIN SMALL LETTER A WITH GRAVE
E1  á  LATIN SMALL LETTER A WITH ACUTE
E2  â  LATIN SMALL LETTER A WITH CIRCUMFLEX
E3  ã  LATIN SMALL LETTER A WITH TILDE
E4  ä  LATIN SMALL LETTER A WITH DIAERESIS
E5  å  LATIN SMALL LETTER A WITH RING ABOVE
E6  æ  LATIN SMALL LETTER AE
E7  ç  LATIN SMALL LETTER C WITH CEDILLA
E8  è  LATIN SMALL LETTER E WITH GRAVE
E9  é  LATIN SMALL LETTER E WITH ACUTE
EA  ê  LATIN SMALL LETTER E WITH CIRCUMFLEX
EB  ë  LATIN SMALL LETTER E WITH DIAERESIS
EC  ì  LATIN SMALL LETTER I WITH GRAVE
ED  í  LATIN SMALL LETTER I WITH ACUTE
EE  î  LATIN SMALL LETTER I WITH CIRCUMFLEX
EF  ï  LATIN SMALL LETTER I WITH DIAERESIS
F0  ð  LATIN SMALL LETTER ETH
F1  ñ  LATIN SMALL LETTER N WITH TILDE
F2  ò  LATIN SMALL LETTER O WITH GRAVE
F3  ó  LATIN SMALL LETTER O WITH ACUTE
F4  ô  LATIN SMALL LETTER O WITH CIRCUMFLEX
F5  õ  LATIN SMALL LETTER O WITH TILDE
F6  ö  LATIN SMALL LETTER O WITH DIAERESIS
F7  ÷  DIVISION SIGN
F8  ø  LATIN SMALL LETTER O WITH STROKE
F9  ù  LATIN SMALL LETTER U WITH GRAVE
FA  ú  LATIN SMALL LETTER U WITH ACUTE
FB  û  LATIN SMALL LETTER U WITH CIRCUMFLEX
FC  ü  LATIN SMALL LETTER U WITH DIAERESIS
FD  ý  LATIN SMALL LETTER Y WITH ACUTE
FE  þ  LATIN SMALL LETTER THORN
FF  ÿ  LATIN SMALL LETTER Y WITH DIAERESIS
